cement,blast_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate,age,compressive_strength
1.0,0.0,0.0,0.336451128519,0.163773846788,0.69476744186,0.171491221649,0.407262267916,79.98611076
1.0,0.0,0.0,0.336451128519,0.163773846788,0.738372093023,0.171491221649,0.407262267916,61.88736576
0.665163740034,0.703541408344,0.0,0.856067817467,0.0,0.380813953488,0.0,0.988366318067,40.269535256
0.665163740034,0.703541408344,0.0,0.856067817467,0.0,0.380813953488,0.0,1.0,41.052779992
0.337522303968,0.676516721821,0.0,0.576828758559,0.0,0.515697674419,0.531527618489,0.999660455376,44.296075096
0.517797927438,0.621614780269,0.0,0.856067817467,0.0,0.380813953488,0.158292763957,0.800325366587,47.029847436
0.756137223362,0.555936334289,0.0,0.856067817467,0.0,0.380813953488,0.0,1.0,43.698299404
0.756137223362,0.555936334289,0.0,0.856067817467,0.0,0.380813953488,0.0,0.407262267916,36.447769788
0.517797927438,0.621614780269,0.0,0.856067817467,0.0,0.380813953488,0.158292763957,0.407262267916,45.854290856
0.910727835609,0.0,0.0,0.856067817467,0.0,0.380813953488,0.0,0.407262267916,39.28978986
0.337522303968,0.676516721821,0.0,0.576828758559,0.0,0.515697674419,0.531527618489,0.800325366587,38.074243672
0.337522303968,0.676516721821,0.0,0.576828758559,0.0,0.515697674419,0.531527618489,0.407262267916,28.021683592
0.837482511281,0.337753287006,0.0,0.856067817467,0.0,0.380813953488,0.0,0.988366318067,43.01296026
0.311743827007,0.807196171064,0.0,0.856067817467,0.0,0.380813953488,0.158292763957,0.800325366587,42.32693164
0.605167378359,0.479197895467,0.0,0.856067817467,0.0,0.380813953488,0.158292763957,0.407262267916,47.813781648
0.756137223362,0.0,0.0,0.856067817467,0.0,0.380813953488,0.158292763957,0.800325366587,52.908319812
0.145074617788,0.840680590073,0.0,0.576828758559,0.0,0.71511627907,0.483574724724,0.800325366587,39.358047984
0.684215228915,0.28193870173,0.0,0.856067817467,0.0,0.380813953488,0.158292763957,1.0,56.141962252
