length,diameter,height,whole_weight,shucked_weight,viscera_weight,shell_weight,sex_F,sex_I,sex_M,rings
0.325817283976,0.343748094693,0.157764047234,0.290830238315,0.287198030905,0.248374231375,0.266809579408,0.0,0.0,1.0,15
0.203610988236,0.198014589907,0.148344717996,0.137556986718,0.13859856874,0.127310763501,0.132924600835,0.0,0.0,1.0,7
0.431473864396,0.440811789088,0.233709633393,0.36749509789,0.321142634652,0.330974704086,0.35483505368,1.0,0.0,0.0,9
0.3065904714,0.343748094693,0.214626236232,0.291810882754,0.27737348308,0.275829036781,0.27451938284,0.0,0.0,1.0,10
0.183458077485,0.185459801003,0.129556517493,0.125688553946,0.125476283166,0.104750648174,0.105395584898,0.0,1.0,0.0,7
0.287971935995,0.244755098069,0.157764047234,0.207522113004,0.19098800859,0.196298632191,0.219001046341,0.0,1.0,0.0,8
0.431473864396,0.431457815574,0.262453175751,0.411697524496,0.300638434697,0.330974704086,0.505514495935,1.0,0.0,0.0,20
0.454590129662,0.450274516956,0.214626236232,0.407612747838,0.35905849068,0.346312655875,0.421353996218,1.0,0.0,0.0,16
0.352418826875,0.352052360337,0.214626236232,0.288619989289,0.27847127938,0.272708221731,0.28972654479,0.0,0.0,1.0,9
0.462448022996,0.479322141686,0.262453175751,0.460489582835,0.378984033249,0.349154732708,0.494076219706,1.0,0.0,0.0,19
0.423919475307,0.368967236378,0.243275119998,0.335126172677,0.25338945273,0.342506741019,0.35483505368,1.0,0.0,0.0,14
0.294111224927,0.319439802854,0.186121604112,0.236286929094,0.222790983559,0.20426267846,0.243243518889,0.0,0.0,1.0,10
0.373109095098,0.368967236378,0.233709633393,0.304223818984,0.279567523498,0.235384948889,0.32654873788,0.0,0.0,1.0,11
0.439103482367,0.413073371124,0.252856333221,0.370870930153,0.337558341304,0.386064491756,0.347857704958,1.0,0.0,0.0,10
0.345663699716,0.327442496953,0.167200045023,0.271748391388,0.222790983559,0.203129535075,0.31931733316,1.0,0.0,0.0,10
0.387260924187,0.404041521931,0.224159972102,0.361840235319,0.32269702619,0.314338292243,0.395435534221,0.0,0.0,1.0,12
0.208798626235,0.217506478265,0.138942169954,0.174274479135,0.132718281338,0.104750648174,0.210764967781,0.0,1.0,0.0,7
0.3065904714,0.303731225441,0.167200045023,0.259399320117,0.246563621781,0.217742831763,0.235239243814,1.0,0.0,0.0,10
0.219356033453,0.237805999258,0.129556517493,0.154673617426,0.135336713705,0.113591782277,0.185575449785,0.0,0.0,1.0,7
0.31934006212,0.27348233366,0.167200045023,0.223199324965,0.226314199095,0.190563925257,0.210764967781,0.0,0.0,1.0,9
0.208798626235,0.217506478265,0.157764047234,0.149000911072,0.133373637268,0.160108584202,0.141918290712,0.0,0.0,1.0,11
0.235653583059,0.210920334529,0.167200045023,0.137556986718,0.112822910962,0.128547518773,0.15963961902,0.0,1.0,0.0,10
0.486485179625,0.479322141686,0.272065551625,0.478540877819,0.479669964139,0.459661584648,0.433985691065,1.0,0.0,0.0,12
0.462448022996,0.431457815574,0.233709633393,0.405671187016,0.382331500994,0.453125130926,0.340818083984,1.0,0.0,0.0,9
